JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
01:11:15:00:00:00,9014.42,8984.67,91.285,91.5456,89.2585,0.499486,0.250628,1085.55,3976.17,12358.1,0.705866,0,0,3976.17,0.708496,0.294171,4869.99,0.5,1091.41,1085.55,0.713225,0
01:11:15:00:00:01,9024.43,8994.39,90.9936,91.5415,89.2609,0.499598,0.250635,1087.04,4007.35,12368.7,0.646309,0,0,4007.35,0.693707,0.295566,4880.53,0.516667,1092.93,1087.04,0.700483,0
01:11:15:00:00:02,9007.55,8977.51,91.3406,91.5269,88.9758,0.49963,0.250642,1088.53,4038.56,12352.3,0.557166,0,0,4038.56,0.688544,0.297364,4864.19,0.533333,1094.45,1088.53,0.691062,0
01:11:15:00:00:03,9000.12,8982.38,91.3319,91.5309,89.3157,0.499488,0.250649,1090.01,4069.73,12345.4,0.654949,0,0,4069.73,0.690413,0.301838,4857.3,0.55,1095.97,1090.01,0.690413,0
01:11:15:00:00:04,9003.55,8976.37,91.2342,91.5295,89.2842,0.505296,0.250656,1091.5,4100.9,12349.4,0.786627,0,0,4100.9,0.69535,0.300868,4861.24,0.566667,1097.49,1091.5,0.693154,0
01:11:15:00:00:05,8994.11,8990.67,91.3515,91.5095,89.2109,0.499692,0.250664,1092.99,4132.31,12340.4,0.618288,0,0,4132.31,0.691997,0.302163,4852.32,0.583333,1099.01,1092.99,0.696257,0
01:11:15:00:00:06,9007.84,8986.95,91.2755,91.4921,89.3254,0.499722,0.250671,1094.48,4163.7,12354.7,0.44038,0,0,4163.7,0.687141,0.304739,4866.59,0.6,1100.53,1094.48,0.689578,0
01:11:15:00:00:07,8988.1,8978.37,91.4446,91.5148,89.2519,0.499542,0.250678,1095.96,4194.92,12335.5,0.673333,0,0,4194.92,0.682877,0.304663,4847.39,0.616667,1102.05,1095.96,0.684017,0
01:11:15:00:00:08,9011.84,8966.35,91.0828,91.5055,89.4156,0.499956,0.250685,1097.45,4226.15,12359.8,0.555028,0,0,4226.15,0.677539,0.305174,4871.68,0.633333,1103.58,1097.45,0.677785,0
01:11:15:00:00:09,8993.54,8965.5,91.2217,91.4534,89.0626,0.499747,0.250693,1098.94,4257.4,12342,0.60324,0,0,4257.4,0.677585,0.304445,4853.88,0.65,1105.1,1098.94,0.677213,0
01:11:15:00:00:10,8991.82,8974.65,91.064,91.376,89.1979,0.499874,0.2507,1100.43,4288.63,12340.8,0.423518,0,0,4288.63,0.681594,0.305039,4852.68,0.666667,1106.61,1100.43,0.678712,0
01:11:15:00:00:11,8985.81,8963.21,91.2506,91.3666,89.0395,0.500938,0.250707,1101.91,4319.81,12335.3,0.44988,0,0,4319.81,0.691413,0.30451,4847.22,0.683333,1108.13,1101.91,0.683439,0
01:11:15:00:00:12,8977.51,8963.49,91.1753,91.396,89.2221,0.500912,0.250715,1103.4,4351.03,12327.6,0.467847,0,0,4351.03,0.705325,0.305044,4839.47,0.7,1109.65,1103.4,0.695926,0
01:11:15:00:00:13,8991.82,8962.06,91.2278,91.4067,89.1487,0.500851,0.250722,1104.88,4382.28,12342.4,0.552896,0,0,4382.28,0.709204,0.30222,4854.3,0.716667,1111.17,1104.88,0.705325,0
01:11:15:00:00:14,8973.51,8965.78,91.2761,91.3813,89.2001,0.500835,0.250729,1106.37,4413.55,12324.6,0.829481,0,0,4413.55,0.707957,0.298043,4836.49,0.733333,1112.69,1106.37,0.709204,0
01:11:15:00:00:15,8993.25,8971.22,91.2283,91.3012,89.2472,0.50088,0.250737,1107.86,4444.82,12344.9,0.457273,0,0,4444.82,0.706977,0.295707,4856.77,0.75,1114.22,1107.86,0.707957,0
01:11:15:00:00:16,8982.95,8966.35,91.1744,91.3213,89.201,0.500717,0.250744,1109.34,4476.1,12335.1,0.535818,0,0,4476.1,0.703782,0.290945,4847.01,0.766667,1115.74,1109.34,0.706977,0
01:11:15:00:00:17,8985.24,8969.79,91.2114,91.2572,89.1474,0.500936,0.250751,1110.83,4507.38,12338,0.527294,0,0,4507.38,0.688776,0.288368,4849.85,0.783333,1117.26,1110.83,0.702185,0
01:11:15:00:00:18,8992.39,8946.33,91.2735,91.424,89.1852,0.50054,0.250758,1112.32,4538.64,12345.6,0.309504,0,0,4538.64,0.68193,0.289465,4857.52,0.8,1118.78,1112.32,0.688776,0
01:11:15:00:00:19,8980.95,8964.92,91.3343,91.4307,89.2451,0.500761,0.250765,1113.8,4569.89,12334.7,0.51665,0,0,4569.89,0.676353,0.291249,4846.59,0.816667,1120.3,1113.8,0.676721,0
01:11:15:00:00:20,8986.95,8953.48,91.3576,91.4067,89.3034,0.501028,0.250772,1115.29,4601.16,12341.3,0.523036,0,0,4601.16,0.679892,0.293701,4853.13,0.833333,1121.82,1115.29,0.678723,0
01:11:15:00:00:21,8970.65,8973.22,91.1397,91.3373,89.3273,0.500759,0.250779,1116.78,4632.46,12325.5,0.349087,0,0,4632.46,0.691753,0.297514,4837.38,0.85,1123.34,1116.78,0.690066,0
01:11:15:00:00:22,8979.23,8964.92,91.2228,91.3453,89.1138,0.500857,0.250786,1118.27,4663.78,12334.6,0.46256,0,0,4663.78,0.699204,0.30098,4846.5,0.866667,1124.86,1118.27,0.696794,0
01:11:15:00:00:23,8975.51,8955.2,91.2133,91.3613,89.1956,0.500736,0.250792,1119.75,4695.05,12331.4,0.319904,0,0,4695.05,0.705198,0.301208,4843.29,0.883333,1126.38,1119.75,0.702086,0
01:11:15:00:00:24,8984.67,8959.77,91.2437,91.4548,89.1861,0.500772,0.250799,1121.24,4726.31,12341.1,0.296002,0,0,4726.31,0.708029,0.300536,4852.97,0.9,1127.9,1121.24,0.706208,0
01:11:15:00:00:25,8974.08,8945.18,91.3039,91.38,89.2151,0.50096,0.250805,1122.73,4757.57,12331.1,0.487971,0,0,4757.57,0.705356,0.29866,4842.93,0.916667,1129.42,1122.73,0.705356,0
01:11:15:00:00:26,8973.22,8949.76,91.2694,91.4281,89.2747,0.500783,0.250812,1124.21,4788.85,12330.7,0.769107,0,0,4788.85,0.705356,0.297358,4842.62,0.933333,1130.94,1124.21,0.69908,0
01:11:15:00:00:27,8971.22,8941.46,91.2165,91.4187,89.2407,0.500857,0.250818,1125.7,4820.14,12329.3,0.914688,0,0,4820.14,0.697063,0.294707,4841.15,0.95,1132.47,1125.7,0.695378,0
01:11:15:00:00:28,8963.49,8956.06,91.1506,91.3853,89.1903,0.500517,0.250824,1127.19,4851.43,12322.1,0.617213,0,0,4851.43,0.69334,0.295308,4833.93,0.966667,1133.98,1127.19,0.692943,0
01:11:15:00:00:29,8962.92,8948.62,91.2212,91.3026,89.1233,0.501168,0.25083,1128.67,4882.7,12322,0.582853,0,0,4882.7,0.697636,0.296949,4833.89,0.983333,1135.5,1128.67,0.700673,0
01:11:15:00:00:30,8950.05,8945.47,91.045,91.2945,89.1925,0.501112,0.250836,1130.16,4913.95,12309.7,0.596794,0,0,4913.95,0.704691,0.298807,4821.56,1,1137.02,1130.16,0.707207,0
01:11:15:00:00:31,8976.08,8953.48,91.3281,91.4628,89.0223,0.500603,0.250842,1131.65,4945.23,12336.3,0.383602,0,0,4945.23,0.706302,0.298007,4848.15,1.01667,1138.54,1131.65,0.703882,0
01:11:15:00:00:32,8958.63,8943.18,91.3035,91.3907,89.2979,0.500911,0.250848,1133.13,4976.47,12319.3,0.88583,0,0,4976.47,0.702408,0.297129,4831.21,1.03333,1140.07,1133.13,0.696517,0
01:11:15:00:00:33,8966.93,8949.48,91.2097,91.3947,89.2748,0.500651,0.250853,1134.62,5007.72,12328.2,0.420364,0,0,5007.72,0.698052,0.299519,4840.03,1.05,1141.59,1134.62,0.696716,0
01:11:15:00:00:34,8959.2,8935.17,91.1836,91.4962,89.1831,0.500667,0.250859,1136.11,5039.02,12321,0.811877,0,0,5039.02,0.697561,0.303387,4832.84,1.06667,1143.11,1136.11,0.697281,0
01:11:15:00:00:35,8953.48,8941.18,91.1095,91.4267,89.1564,0.500953,0.250864,1137.59,5070.29,12315.8,0.512397,0,0,5070.29,0.699759,0.303777,4827.67,1.08333,1144.63,1137.59,0.705525,0
01:11:15:00:00:36,8973.79,8936.89,91.0825,91.4427,89.0854,0.500582,0.250869,1139.08,5101.55,12336.7,0.679828,0,0,5101.55,0.711899,0.301734,4848.52,1.1,1146.14,1139.08,0.711899,0
01:11:15:00:00:37,8950.62,8940.89,91.0054,91.4307,89.0574,0.500986,0.250874,1140.56,5132.79,12314,0.837194,0,0,5132.79,0.710846,0.301898,4825.86,1.11667,1147.66,1140.56,0.710846,0
01:11:15:00:00:38,8962.64,8938.6,91.1036,91.3533,88.982,0.50099,0.250879,1142.05,5164.02,12326.5,0.483733,0,0,5164.02,0.706329,0.30013,4838.4,1.13333,1149.18,1142.05,0.706329,0
01:11:15:00:00:39,8954.05,8945.76,91.4778,91.3586,89.0789,0.500763,0.250884,1143.53,5195.24,12318.5,0.268028,0,0,5195.24,0.698711,0.301531,4830.36,1.15,1150.7,1143.53,0.694284,0
01:11:15:00:00:40,8952.62,8946.33,91.1153,91.3479,89.4442,0.500917,0.250889,1145.02,5226.45,12317.6,0.515584,0,0,5226.45,0.686035,0.302909,4829.48,1.16667,1152.22,1145.02,0.686035,0
01:11:15:00:00:41,8959.2,8924.01,91.2261,91.3373,89.0901,0.50081,0.250894,1146.51,5257.75,12324.7,0.635524,0,0,5257.75,0.678336,0.30293,4836.59,1.18333,1153.74,1146.51,0.677858,0
01:11:15:00:00:42,8957.77,8932.59,91.4708,91.3533,89.1984,0.500848,0.250898,1147.99,5289.04,12323.8,0.241175,0,0,5289.04,0.68162,0.303489,4835.67,1.2,1155.26,1147.99,0.68162,0
01:11:15:00:00:43,8955.48,8916.57,91.4087,91.3119,89.4365,0.501137,0.250903,1149.48,5320.3,12322,0.301195,0,0,5320.3,0.691073,0.303263,4833.91,1.21667,1156.79,1149.48,0.691073,0
01:11:15:00:00:44,8940.61,8932.02,91.1902,91.3707,89.376,0.50109,0.250907,1150.97,5351.62,12307.7,0.429842,0,0,5351.62,0.698656,0.303185,4819.59,1.23333,1158.31,1150.97,0.698656,0
01:11:15:00:00:45,8937.46,8922.01,91.0094,91.4708,89.1613,0.501334,0.250911,1152.46,5382.98,12305.1,0.0918795,0,0,5382.98,0.696672,0.305352,4816.99,1.25,1159.83,1152.46,0.696672,0
01:11:15:00:00:46,8934.6,8923.73,91.2107,91.5135,88.9847,0.501288,0.250915,1153.94,5414.3,12302.8,0.557166,0,0,5414.3,0.689638,0.30803,4814.65,1.26667,1161.35,1153.94,0.689933,0
01:11:15:00:00:47,8947.76,8932.31,91.247,91.4921,89.1803,0.501614,0.250919,1155.43,5445.56,12316.4,0.250459,0,0,5445.56,0.696562,0.310352,4828.32,1.28333,1162.87,1155.43,0.696562,0
