35613040016687 3 10 2.65668 0.20026 0.31177 0.06848 0.74161 0.52863 0.61053 0.69058 0.03734 3.00834 
11:11:15:21:22:40 499 0 3.193 2.589 0.408000 1832841.80 404378.41 -6406.65 752.98 73.76 40.10 38.78 -0.93331 0.25676 -0.25100 -0.26419 -0.01766 0.96431 0.348 1.062 2.81105045084108E-06 15.94 109935.702241866 0.000374008127529618 419.556998083362 -2.639 -999.25 0.00222170760498248 3 11 3.52087 0.22909 0.40790 0.10399 0.84479 0.72358 0.78865 0.79389 0.07772 3.33090 
11:11:15:21:22:51 500 0 7.700 7.099 0.545998 1832641.81 404370.60 -6151.61 741.60 73.48 36.79 28.97 -0.96819 0.17758 -0.17627 -0.17105 0.04440 0.98426 1.769 0.809 2.40656997851503E-06 17.86 302458.657358372 0.000542281527485962 819.910984451796 -2.346 -999.25 0.00629515470948067 3 12 8.16318 0.78355 0.43792 0.32566 0.91345 0.92097 0.96293 0.93471 0.27510 4.12681 
11:11:15:21:22:53 501 0 9.148 5.688 0.371995 1832672.80 404381.02 -6144.40 713.12 73.22 36.31 18.86 -0.95889 0.20773 -0.19334 -0.18834 0.04379 0.98113 2.659 1.154 3.84716146057693E-06 23.64 1542539.51910801 0.00276563644742436 1804.28242521425 -1.875 -999.25 0.0706503798545464 3 12 7.95675 0.88728 0.37426 0.30305 0.53081 0.93485 0.97404 0.93952 0.19501 4.17869 
11:11:15:21:23:01 502 0 12.421 10.474 0.607500 1832642.86 404379.69 -6153.34 743.03 73.66 40.84 18.45 -0.93814 0.20255 -0.28085 -0.27547 0.05488 0.95974 1.987 0.901 2.292012627027E-06 14.06 359952.711165964 0.000645363262994691 2000.49715580761 -2.296 -999.25 0.018279195189148 3 12 16.09053 0.96142 0.52635 0.50317 0.86573 0.93161 0.98137 0.93553 0.41477 4.40402 
11:11:15:21:23:02 503 0 3.640 2.849 0.204000 1832744.82 404278.71 -6424.74 817.94 73.70 59.07 41.32 -0.95584 0.04627 -0.29023 -0.05072 -0.99868 0.00783 0.372 0.600 2.50015867259121E-06 14.75 91739.9439527826 0.000312105021005503 441.266097143504 -2.692 -999.25 0.00194991737574841 3 11 3.85581 0.25462 0.43827 0.12842 0.82417 0.65578 0.69347 0.77451 0.09702 3.30457 
11:11:15:21:23:05 504 3 3.076 2.791 0.752424 1831739.99 404178.02 -6386.78 1654.72 163.91 35.38 27.91 -0.04403 0.99903 0.00001 0.94014 0.04143 0.33827 1.191 0.534 4.77396782218487E-06 17.70 326999.582190625 0.00113298936678024 910.401219264549 -2.324 -999.25 0.0146040582665737 3 7 2.40231 0.24854 0.23192 0.06165 0.81845 0.63650 0.75477 0.71990 0.04216 3.06854 
11:11:15:21:23:07 505 3 2.472 2.026 0.667248 1832956.87 404242.42 -6330.00 612.17 58.14 32.40 15.09 -0.01199 0.99993 0.00000 0.92211 0.01106 0.38677 0.537 0.568 2.69335559091745E-06 17.54 74186.2847576617 0.000214509508763664 212.345868360476 -2.753 -999.25 0.00064491912481058 3 11 1.93115 0.16427 0.22196 0.03672 0.70031 0.43258 0.55748 0.60887 0.01361 2.81801 
11:11:15:21:23:08 506 0 7.756 6.804 0.263003 1832604.49 404370.82 -6151.62 774.58 72.86 37.31 35.90 -0.97194 0.18116 -0.15003 -0.12825 0.12652 0.98364 1.814 0.846 2.44315371024208E-06 30.66 876853.031958618 0.0015721196599369 470.164210063888 -2.038 -999.25 0.0104652608485524 3 12 8.54485 0.80168 0.43766 0.31563 0.82950 0.91576 0.95734 0.92852 0.24374 4.14147 
11:11:15:21:23:13 507 0 3.708 3.290 0.653998 1832995.33 404477.45 -6405.14 697.41 70.59 67.10 38.64 -0.75214 0.60212 -0.26783 0.62437 0.78112 0.00268 1.061 1.252 2.45940004522249E-06 16.15 86011.1497961846 0.000292615305364282 315.41688770346 -2.710 -999.25 0.00130676313102848 3 12 3.96859 0.37606 0.41631 0.16538 0.81446 0.78754 0.77432 0.88880 0.11261 3.57182 
11:11:15:21:23:16 508 0 11.013 9.387 0.983003 1832619.14 404370.31 -6151.11 761.29 73.52 37.05 19.01 -0.96896 0.17560 -0.17400 -0.17116 0.03133 0.98475 1.622 0.636 2.23976105266914E-06 24.10 420564.426986311 0.000754034689779667 464.27458876904 -2.251 -999.25 0.004956568729304 3 12 12.30400 0.86753 0.51248 0.41650 0.88772 0.93398 0.97500 0.94112 0.34724 4.29944 
