JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG
28:10:15:10:45:30,-36.106,-0.343379,0,1.41928,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:31,-35.8199,-0.915582,0,1.40192,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:32,-36.6782,-0.343379,0,1.38056,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:33,-36.3921,-0.915582,0,1.37255,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:34,-36.106,-0.629481,0,1.3592,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:35,-36.3921,-0.0572783,0,1.38056,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:36,-35.8199,-0.629481,0,1.3899,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:37,-36.3921,-0.915582,0,1.40726,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:38,-35.5338,-0.915582,0,1.42195,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:39,-36.106,-1.48778,0,1.41794,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:40,-36.106,-0.915582,0,1.40726,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:41,-35.8199,-0.629481,0,1.39658,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:42,-36.9643,-0.629481,0,1.40192,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:43,-36.3921,-0.343379,0,1.40459,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:44,-36.3921,-0.915582,0,1.41394,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:45,-35.8199,-0.915582,0,1.41794,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:46,-35.5338,-0.915582,0,1.4313,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:47,-35.2477,-1.20168,0,1.42061,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:48,-35.8199,-0.915582,0,1.40192,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:49,-34.9616,-1.20168,0,1.41527,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:50,-35.5338,-1.48778,0,1.41794,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:51,-35.5338,-1.20168,0,1.41528,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:52,-35.5338,-0.915582,0,1.42996,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:53,-35.2477,-0.915582,0,1.42595,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:54,-35.8199,-1.20168,0,1.40593,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:55,-35.8199,-0.629481,0,1.38056,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:56,-36.106,-0.629481,0,1.38323,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:57,-35.8199,-0.629481,0,1.38056,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:58,-35.5338,-0.915582,0,1.39258,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:59,-36.106,-0.343379,0,1.40459,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:00,-35.2477,-1.20168,0,1.42195,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:01,-35.5338,-1.48778,0,1.4313,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:02,-35.5338,-1.20168,0,1.41127,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:03,-36.3921,-0.915582,0,1.40192,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:04,-36.3921,-0.629481,0,1.42195,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:05,-36.106,-0.915582,0,1.42729,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:06,-35.5338,-0.629481,0,1.43664,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:07,-34.9616,-1.20168,0,1.44331,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:08,-36.106,-1.20168,0,1.43797,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:09,-36.106,-0.343379,0,1.40993,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:10,-35.8199,-1.20168,0,1.39258,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:11,-36.106,-0.343379,0,1.37656,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:12,-35.8199,-1.20168,0,1.36988,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:13,-35.8199,-0.915582,0,1.3819,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:14,-35.5338,-1.48778,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:15,-35.5338,-0.915582,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:16,-35.5338,-1.48778,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:17,-34.9616,-0.915582,0,1.37522,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:18,-35.5338,-0.629481,0,1.38991,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:19,-35.8199,-0.629481,0,1.40593,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:20,-34.9616,-0.629481,0,1.38991,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:21,-36.106,-0.915582,0,1.37656,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:22,-36.3921,-0.629481,0,1.36053,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:23,-35.5338,-0.629481,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:24,-35.8199,-0.629481,0,1.35653,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:25,-35.8199,-0.343379,0,1.37522,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:26,-35.2477,-1.20168,0,1.38857,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:27,-35.8199,-0.915582,0,1.40459,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:28,-36.3921,-0.915582,0,1.41928,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:29,-36.106,-0.629481,0,1.42195,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:30,-35.2477,-0.915582,0,1.40059,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
