  0.19   
1832786.39 404554.25 -6247.21 "11/11/2015" 1008.00 1832786.39 404554.25 -6247.21 1.87   0.00   2.22   0.00   0.61   729.27 96.19  41.20  27.89  -0.80  0.51   -0.31  -0.27  0.17   0.95   0.94   2.94   0.02   0.76   0.77   0.66   0.59   1.91   0.04   0.17   0.21   3.00   0.00   -999.25 -2.36  212.76 0.00   34.53  11.00  0.02   0.59   
1832289.14 404761.31 -6283.70 "11/11/2015" 1007.00 1832289.14 404761.31 -6283.70 7.21   0.00   7.90   0.00   0.50   1217.37 76.20  72.29  42.19  -0.49  -0.87  -0.00  0.87   -0.49  0.09   0.50   3.92   0.24   0.95   0.95   0.88   0.86   5.40   0.28   0.57   0.48   3.00   0.00   -999.25 -2.07  571.11 0.00   25.49  12.00  0.10   0.16   
1832719.67 404368.35 -6124.23 "11/11/2015" 1010.00 1832719.67 404368.35 -6124.23 1.99   0.00   2.44   0.00   1.62   657.77 74.08  35.03  26.66  -0.95  0.21   -0.25  -0.25  0.03   0.97   0.98   3.13   0.02   0.65   0.81   0.77   0.67   2.40   0.05   0.33   0.15   3.00   0.00   -999.25 -2.52  122.34 0.00   22.99  12.00  0.03   0.65   
1832644.27 404391.16 -6134.46 "11/11/2015" 1009.00 1832644.27 404391.16 -6134.46 17.62  0.00   21.20  0.00   1.83   732.56 73.50  36.69  18.44  -0.96  0.21   -0.19  -0.19  0.04   0.98   0.33   4.40   0.37   0.75   0.99   0.97   0.96   25.91  0.50   0.93   0.53   3.00   0.00   -999.25 -2.00  737.73 0.00   15.79  12.00  0.57   0.78   
1832647.52 404373.61 -6145.77 "11/11/2015" 1011.00 1832647.52 404373.61 -6145.77 18.09  0.00   21.70  0.00   1.68   731.40 73.16  36.57  19.87  -0.96  0.21   -0.20  -0.19  0.04   0.98   0.74   4.51   0.50   0.85   0.98   0.93   0.93   24.27  0.60   1.00   0.60   3.00   0.00   -999.25 -2.02  694.89 0.00   18.98  12.00  0.31   0.87   
1832662.85 404409.55 -6154.02 "11/11/2015" 1012.00 1832662.85 404409.55 -6154.02 2.67   0.00   3.08   0.00   1.15   729.04 123.21 73.05  40.31  -0.27  -0.96  0.01   0.93   -0.26  0.28   0.11   3.32   0.04   0.73   0.85   0.88   0.81   2.64   0.06   0.32   0.21   3.00   0.00   -999.25 -2.04  646.60 0.00   48.48  12.00  0.02   0.97   
1833038.76 404391.21 -6380.14 "11/11/2015" 1013.00 1833038.76 404391.21 -6380.14 2.72   0.00   2.49   0.00   0.77   632.23 121.65 60.78  57.23  -0.72  0.46   -0.51  -0.42  0.30   0.86   0.27   3.00   0.03   0.75   0.63   0.79   0.58   2.07   0.04   0.19   0.23   3.00   0.00   -999.25 -2.78  49.91  0.00   17.48  11.00  0.03   0.73   
1832126.31 404843.94 -6355.43 "11/11/2015" 1014.00 1832126.31 404843.94 -6355.43 6.59   0.00   7.44   0.00   0.25   1413.53 120.13 77.37  55.44  -0.45  -0.89  -0.01  0.83   -0.43  0.36   0.41   3.81   0.18   0.95   0.93   0.90   0.87   5.15   0.22   0.41   0.54   3.00   0.00   -999.25 -2.35  224.30 0.00   13.96  12.00  0.25   0.31   
1832629.45 404454.09 -6247.81 "11/11/2015" 1015.00 1832629.45 404454.09 -6247.81 4.63   0.00   7.54   0.00   0.88   814.16 72.34  52.55  35.24  -0.93  0.28   -0.23  -0.30  -0.95  0.02   0.74   3.83   0.17   0.84   0.95   0.93   0.92   5.18   0.22   0.47   0.47   3.00   0.00   -999.25 -2.48  139.75 0.00   13.71  12.00  0.16   0.49   
1832863.84 404410.72 -6275.08 "11/11/2015" 1016.00 1832863.84 404410.72 -6275.08 1.98   0.00   2.97   0.00   0.58   645.54 69.76  40.90  30.58  -0.89  0.36   -0.30  -0.37  -0.93  -0.01  0.34   3.29   0.11   0.80   0.59   0.73   0.57   4.49   0.16   0.33   0.41   3.00   0.00   -999.25 -2.79  48.29  0.00   14.60  10.00  0.05   0.44   
1832095.32 404908.38 -6282.26 "11/11/2015" 1017.00 1832095.32 404908.38 -6282.26 2.55   3.00   2.83   0.00   0.63   1441.89 221.46 36.36  23.87  0.49   0.87   0.00   0.87   -0.49  -0.02  0.27   2.05   0.01   0.77   0.86   0.84   0.77   2.00   0.04   0.18   0.22   3.00   0.00   -999.25 -1.94  897.86 0.00   35.94  12.00  0.06   1.14   
