JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
11:11:15:07:30:45,4376.72,4357.26,0,0.124172,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:46,4376.43,4356.98,0,0.122835,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:47,4377.01,4356.69,0,0.118828,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:48,4376.43,4356.41,0,0.124168,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:49,4377.29,4356.41,0,0.126839,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:50,4377.01,4356.41,0,0.128174,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:51,4376.15,4355.26,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:52,4376.15,4355.83,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:53,4375.86,4356.12,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:54,4375.86,4356.41,0,0.126841,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:55,4376.43,4355.83,0,0.128178,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:56,4376.72,4355.83,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:57,4376.15,4355.55,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:58,4376.15,4354.98,0,0.128176,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:30:59,4375.86,4355.55,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:00,4375.86,4356.12,0,0.118828,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:01,4376.15,4354.69,0,0.120163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:02,4375.86,4354.69,0,0.11883,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:03,4375.57,4355.26,0,0.117496,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:04,4375,4354.98,0,0.116158,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:05,4374.43,4354.4,0,0.11883,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:06,4375.29,4354.69,0,0.120163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:07,4373.86,4354.69,0,0.121498,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:08,4375.29,4353.26,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:09,4374.43,4354.12,0,0.122835,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:10,4375,4354.4,0,0.11883,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:11,4374.14,4352.97,0,0.120163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:12,4375,4353.54,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:13,4374.43,4354.98,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:14,4374.14,4353.83,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:15,4374.14,4353.83,0,0.120165,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:16,4374.72,4355.26,0,0.12417,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:17,4374.43,4355.55,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:18,4374.72,4354.4,0,0.128174,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:19,4373.57,4352.97,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:20,4373.86,4353.54,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:21,4373,4352.4,0,0.128178,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:22,4373,4351.54,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:23,4373.29,4352.4,0,0.124168,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:24,4372.71,4352.4,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:25,4373.86,4351.54,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:26,4374.14,4352.69,0,0.128174,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:27,4373.57,4352.69,0,0.120163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:28,4373,4353.26,0,0.122837,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:29,4373.57,4353.26,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:30,4373.86,4353.54,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:31,4372.71,4353.26,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:32,4371.86,4353.26,0,0.126839,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:33,4372.71,4353.26,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:34,4372.43,4352.69,0,0.122837,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:35,4371.57,4352.11,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:36,4372.43,4352.4,0,0.126842,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:37,4372.71,4352.69,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:38,4372.14,4351.83,0,0.112152,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:39,4372.14,4352.11,0,0.117493,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:40,4372.43,4352.69,0,0.118828,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:41,4372.71,4351.83,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:42,4372.43,4350.97,0,0.124172,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:43,4372.43,4351.54,0,0.128178,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:44,4372.43,4351.54,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:45,4371.28,4350.97,0,0.122837,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:46,4371.28,4350.97,0,0.122833,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:47,4371.28,4350.4,0,0.118828,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:48,4370.71,4350.4,0,0.128176,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:49,4371,4350.4,0,0.124168,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:50,4371.57,4351.54,0,0.117493,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:51,4371,4350.4,0,0.125504,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:52,4371.28,4349.54,0,0.120167,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:53,4371.57,4350.4,0,0.125504,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:54,4371,4350.4,0,0.128174,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:55,4369.57,4348.68,0,0.133518,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:56,4370.71,4348.97,0,0.12417,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:57,4371,4349.25,0,0.126839,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:58,4369.28,4348.68,0,0.120167,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:31:59,4369.85,4349.25,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:07:32:00,4371,4349.54,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
