JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
13:11:15:08:39:14,24.5474,54.302,0,5.77592,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12.7803
13:11:15:08:39:15,25.4057,55.4464,0,5.73186,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,13.1779
13:11:15:08:39:16,24.2613,54.0159,0,5.74922,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12.9361
13:11:15:08:39:17,25.4057,54.0159,0,5.77859,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12.3462
13:11:15:08:39:18,24.8335,54.8742,0,5.75589,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,11.3739
13:11:15:08:39:19,25.9779,54.302,0,5.78927,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.5418
13:11:15:08:39:20,25.6918,54.5881,0,5.77859,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.1116
13:11:15:08:39:21,25.6918,54.0159,0,5.73987,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.137
13:11:15:08:39:22,25.6918,54.5881,0,5.74655,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.1078
13:11:15:08:39:23,26.5501,55.1603,0,5.76925,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,9.63504
13:11:15:08:39:24,26.264,53.7298,0,5.76658,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,9.37424
13:11:15:08:39:25,27.6945,54.5881,0,5.7105,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,9.55244
13:11:15:08:39:26,25.9779,54.8742,0,5.7639,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.1956
13:11:15:08:39:27,27.6945,56.0186,0,5.7372,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10.7721
