JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
09:11:15:00:44:03,-12.3596,-22.0871,0,0.136185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:04,-12.9318,-21.5149,0,0.141525,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:05,-12.9318,-22.0871,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:06,-12.9318,-21.801,0,0.130848,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:07,-12.0735,-22.0871,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:08,-12.9318,-21.801,0,0.136185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:09,-12.9318,-22.3732,0,0.134851,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:10,-13.2179,-22.0871,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:11,-13.2179,-21.801,0,0.138857,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:12,-13.2179,-21.801,0,0.141527,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:13,-12.9318,-22.3732,0,0.136189,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:14,-12.9318,-22.0871,0,0.136185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:15,-12.6457,-22.0871,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:16,-12.3596,-22.3732,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:17,-12.6457,-22.0871,0,0.132181,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:18,-12.6457,-22.0871,0,0.126841,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:19,-12.6457,-22.3732,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:20,-13.2179,-22.6593,0,0.132183,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:21,-13.2179,-22.3732,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:22,-12.6457,-22.0871,0,0.128174,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:23,-12.6457,-22.3732,0,0.126839,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:24,-12.3596,-22.0871,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:25,-12.3596,-22.3732,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:26,-12.9318,-22.6593,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:27,-12.0735,-21.2288,0,0.125505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:28,-12.6457,-22.3732,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:29,-12.6457,-22.0871,0,0.126841,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:30,-12.6457,-22.9454,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:31,-12.9318,-22.0871,0,0.136189,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:32,-12.9318,-22.0871,0,0.137522,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:33,-12.9318,-22.0871,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:34,-12.6457,-22.6593,0,0.13485,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:35,-12.9318,-21.5149,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:36,-12.9318,-22.0871,0,0.130846,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:37,-12.9318,-22.0871,0,0.133514,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:38,-13.2179,-21.801,0,0.132183,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:39,-12.9318,-21.801,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:40,-13.2179,-22.3732,0,0.134851,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:41,-12.6457,-22.0871,0,0.137524,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:42,-12.6457,-22.0871,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:43,-12.3596,-21.801,0,0.13485,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:44,-13.2179,-22.0871,0,0.140192,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:45,-12.6457,-21.801,0,0.133514,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:46,-12.9318,-22.0871,0,0.140192,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:47,-12.6457,-22.0871,0,0.136187,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:48,-12.6457,-22.0871,0,0.14286,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:49,-12.3596,-22.0871,0,0.141527,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:50,-12.6457,-21.801,0,0.132181,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:51,-12.6457,-22.3732,0,0.132181,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:52,-12.6457,-21.5149,0,0.13485,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:53,-12.6457,-21.5149,0,0.132181,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:54,-12.9318,-22.0871,0,0.134851,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:55,-13.2179,-22.0871,0,0.141529,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:56,-12.3596,-21.801,0,0.138855,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:57,-12.9318,-21.801,0,0.138857,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:58,-13.504,-22.3732,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:44:59,-12.9318,-21.801,0,0.133514,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:45:00,-12.3596,-22.3732,0,0.133514,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:45:01,-13.2179,-22.0871,0,0.130844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:45:02,-12.0735,-21.801,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:45:03,-12.9318,-22.0871,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:00:45:04,-12.3596,-22.0871,0,0.132181,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
