JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
09:11:15:20:39:58,43.144,60.024,0,1.35786,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:39:59,43.7162,59.1657,0,1.3138,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:00,42.8579,58.8796,0,1.25505,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:01,43.144,59.1657,0,1.30045,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:02,43.4301,59.7379,0,1.34051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:03,41.9996,58.0213,0,1.39658,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:04,40.5691,56.3047,0,1.47002,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:05,39.9969,56.3047,0,1.15892,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:06,39.4247,55.4464,0,0.646221,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:07,39.1386,55.4464,0,0.186922,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:08,38.5664,54.5881,0,0.189592,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:09,38.2803,54.8742,0,0.190928,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:10,37.9942,54.0159,0,0.134851,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:11,19.1115,35.7054,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:12,5.95085,22.2586,0,0.0480652,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:13,-2.34609,13.6756,0,0.0160217,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:14,-7.49591,8.81186,0,0.00133514,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:15,-10.9291,4.80644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:16,-13.7901,2.23153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:17,-15.5067,0.228823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:18,-17.2234,-1.20168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:19,-18.94,-2.34609,0,0.00267029,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:20,-18.94,-3.49049,0,0.00667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:21,-19.7983,-4.6349,0,0.0213623,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:22,-21.2288,-5.4932,0,0.0320435,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:23,-22.0871,-5.4932,0,0.0347137,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:24,-22.6593,-6.35151,0,0.0413895,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:25,-22.3732,-6.63761,0,0.04673,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:20:40:26,-22.6593,-6.92371,0,0.0494003,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
