JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
09:11:15:14:32:21,-38.967,31.1278,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:22,-38.6809,30.8417,0,0.0761051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:23,-38.967,31.1278,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:24,-38.6809,30.2695,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:25,-38.967,31.7,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:26,-38.967,31.4139,0,0.0761051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:27,-38.3948,30.8417,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:28,-38.967,31.7,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:29,-38.6809,30.2695,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:30,-38.967,31.4139,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:31,-38.6809,30.5556,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:32,-38.967,30.5556,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:33,-38.3948,30.2695,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:34,-37.8226,27.9806,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:35,-38.1087,28.2667,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:36,-38.6809,30.8417,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:37,-38.967,31.7,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:38,-38.967,33.1305,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:39,-39.8253,32.2722,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:40,-38.6809,31.7,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:41,-38.967,31.9861,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:42,-39.2531,32.8444,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:43,-38.967,32.5583,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:44,-39.2531,32.2722,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:45,-38.967,32.2722,0,0.0761051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:46,-39.5392,32.2722,0,0.0734348,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:47,-39.2531,32.5583,0,0.0761051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:48,-38.6809,31.7,0,0.0747681,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:49,-39.5392,33.7027,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:50,-39.2531,32.2722,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:51,-39.5392,32.5583,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:52,-39.2531,32.5583,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:53,-39.2531,33.7027,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:54,-39.2531,32.8444,0,0.084116,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:55,-38.967,31.7,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:56,-39.5392,33.9888,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:57,-39.2531,32.2722,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:58,-39.5392,32.2722,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:32:59,-39.2531,31.7,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:00,-39.8253,33.4166,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:01,-39.5392,32.8444,0,0.0774403,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:02,-39.5392,32.2722,0,0.0761051,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:03,-38.3948,31.4139,0,0.0747681,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:04,-38.6809,30.5556,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:05,-38.6809,32.2722,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:06,-39.2531,32.2722,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:07,-38.967,31.7,0,0.0787735,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:08,-38.6809,31.1278,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:09,-38.967,31.7,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:10,-39.5392,32.2722,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:11,-39.2531,31.4139,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:12,-39.5392,31.9861,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:13,-39.2531,31.4139,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:14,-38.967,31.7,0,0.0814438,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:15,-38.6809,31.1278,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:16,-38.6809,31.1278,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:17,-38.6809,32.5583,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:18,-38.967,31.9861,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:19,-39.5392,32.5583,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:20,-39.2531,31.9861,0,0.0827789,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:14:33:21,-39.5392,31.9861,0,0.084116,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
