JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
15:11:15:07:18:28,5114.86,5174.37,0,0.018692,0,0,0,0,0,0,0,0,9.95965,0,0,0,-7448.48,0,0,0,0,0,-1.51829,0,0,0
15:11:15:07:18:29,5116,5176.37,0,0.0173569,0,0,0,0,0,0,0,0,9.12548,0,0,0,-7448.48,0,0,0,0,0,-3.63425,0,0,0
15:11:15:07:18:30,5115.72,5172.08,0,0.0146866,0,0,0,0,0,0,0,0,11.1114,0,0,0,-7448.48,0,0,0,0,0,-5.54428,0,0,0
15:11:15:07:18:31,5115.72,5175.8,0,0.0160217,0,0,0,0,0,0,0,0,10.2125,0,0,0,-7448.48,0,0,0,0,0,-6.29688,0,0,0
15:11:15:07:18:32,5116,5173.8,0,0.018692,0,0,0,0,0,0,0,0,9.59846,0,0,0,-7448.48,0,0,0,0,0,-6.40772,0,0,0
15:11:15:07:18:33,5114,5175.23,0,0.0200272,0,0,0,0,0,0,0,0,8.2647,0,0,0,-7448.48,0,0,0,0,0,-6.29218,0,0,0
15:11:15:07:18:34,5114.86,5174.66,0,0.018692,0,0,0,0,0,0,0,0,8.50799,0,0,0,-7448.48,0,0,0,0,0,-6.67814,0,0,0
15:11:15:07:18:35,5114.29,5175.51,0,0.0173569,0,0,0,0,0,0,0,0,9.15373,0,0,0,-7448.48,0,0,0,0,0,-8.10745,0,0,0
15:11:15:07:18:36,5114.86,5174.66,0,0.0160217,0,0,0,0,0,0,0,0,8.5536,0,0,0,-7448.48,0,0,0,0,0,-9.35158,0,0,0
