JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
14:11:15:04:48:05,38.8525,38.8525,0,5.69448,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.852163,-0.122499,-0.122499,0
14:11:15:04:48:06,38.8525,37.7081,0,5.69448,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-1.26402,-0.122499,-0.122499,0
14:11:15:04:48:07,38.8525,38.2803,0,5.69448,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-1.13724,-0.122499,-0.122499,0
14:11:15:04:48:08,38.2803,38.5664,0,5.66243,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.601829,-0.122499,-0.122499,0
14:11:15:04:48:09,38.8525,38.2803,0,5.64775,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.441357,-0.122499,-0.122499,0
14:11:15:04:48:10,38.5664,37.422,0,5.65843,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.573112,-0.122499,-0.122499,0
14:11:15:04:48:11,39.1386,38.2803,0,5.66911,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.521868,-0.122499,-0.122499,0
14:11:15:04:48:12,38.2803,37.7081,0,5.67846,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.197804,-0.122499,-0.122499,0
14:11:15:04:48:13,38.5664,37.9942,0,5.69181,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,0.0566202,-0.122499,-0.122499,0
14:11:15:04:48:14,38.5664,37.7081,0,5.65442,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.152988,-0.122499,-0.122499,0
14:11:15:04:48:15,38.8525,37.9942,0,5.65709,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.443008,-0.122499,-0.122499,0
14:11:15:04:48:16,38.8525,37.9942,0,5.68513,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.382823,-0.122499,-0.122499,0
14:11:15:04:48:17,43.4301,42.8579,0,5.67712,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.0562627,-0.122499,-0.122499,0
14:11:15:04:48:18,46.8633,46.5772,0,5.68914,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,2.47776,-0.122499,-0.122499,0
14:11:15:04:48:19,45.7189,44.8606,0,5.43412,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,10.248,-0.122499,-0.122499,0
14:11:15:04:48:20,45.7189,45.7189,0,4.27653,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,20.7122,-0.122499,-0.122499,0
14:11:15:04:48:21,46.2911,45.4328,0,3.50213,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,28.6169,-0.122499,-0.122499,0
14:11:15:04:48:22,45.7189,44.8606,0,2.75044,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,33.5084,-0.122499,-0.122499,0
14:11:15:04:48:23,46.005,45.7189,0,2.32452,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,36.4756,-0.122499,-0.122499,0
14:11:15:04:48:24,46.5772,45.7189,0,2.00675,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,37.4732,-0.122499,-0.122499,0
14:11:15:04:48:25,46.005,45.7189,0,1.5568,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,37.3337,-0.122499,-0.122499,0
14:11:15:04:48:26,45.7189,45.4328,0,1.25772,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,36.4618,-0.122499,-0.122499,0
14:11:15:04:48:27,46.8633,45.4328,0,0.93862,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,34.2505,-0.122499,-0.122499,0
14:11:15:04:48:28,46.2911,44.8606,0,0.825132,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,31.4854,-0.122499,-0.122499,0
14:11:15:04:48:29,46.2911,45.1467,0,0.650225,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,29.0535,-0.122499,-0.122499,0
14:11:15:04:48:30,46.005,45.4328,0,0.536736,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,26.2819,-0.122499,-0.122499,0
14:11:15:04:48:31,46.5772,45.1467,0,0.36183,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,22.934,-0.122499,-0.122499,0
14:11:15:04:48:32,46.2911,45.1467,0,0.277714,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,19.6521,-0.122499,-0.122499,0
14:11:15:04:48:33,45.4328,45.1467,0,0.21496,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,16.7919,-0.122499,-0.122499,0
14:11:15:04:48:34,45.1467,45.4328,0,0.251011,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,13.6729,-0.122499,-0.122499,0
14:11:15:04:48:35,45.7189,45.1467,0,0.237658,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,9.78214,-0.122499,-0.122499,0
14:11:15:04:48:36,45.4328,45.1467,0,0.237658,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,6.09306,-0.122499,-0.122499,0
14:11:15:04:48:37,46.2911,45.1467,0,0.311094,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,3.34509,-0.122499,-0.122499,0
14:11:15:04:48:38,46.2911,44.8606,0,0.323109,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,1.53822,-0.122499,-0.122499,0
14:11:15:04:48:39,45.4328,44.8606,0,0.337795,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,0.777242,-0.122499,-0.122499,0
14:11:15:04:48:40,45.7189,45.7189,0,0.348478,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,0.170015,-0.122499,-0.122499,0
14:11:15:04:48:41,46.2911,45.7189,0,0.440605,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-0.971657,-0.122499,-0.122499,0
14:11:15:04:48:42,65.1738,63.1711,0,0.476654,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,-1.68155,-0.122499,-0.122499,0
14:11:15:04:48:43,145.568,141.277,0,0.510033,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,7.35848,-0.122499,-0.122499,0
14:11:15:04:48:44,371.302,360.43,0,0.555428,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,69.7636,-0.122499,-0.122499,0
14:11:15:04:48:45,834.214,814.187,1.64429,0.636873,0,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,305.605,-0.122499,-0.122499,0
14:11:15:04:48:46,1402.7,1378.38,2.09639,0.757038,1.64429,0,0,0,0,0,0,0,0,0,0,4.47E-29,-7448.48,0,0,0,0,1.12E-31,943.463,-0.122499,-0.122499,0
14:11:15:04:48:47,1900.23,1873.62,2.09334,0.861181,2.09639,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,1.12E-31,2209.62,-0.0176746,-0.0176746,0
14:11:15:04:48:48,2307.35,2281.6,1.95256,1.08816,2.09334,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4094.51,-0.0138629,-0.0138629,0
14:11:15:04:48:49,2607.47,2582.58,1.62002,1.20031,1.95256,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,6334.94,-0.0138832,-0.0138832,0
14:11:15:04:48:50,2785.42,2775.12,1.20912,1.21633,1.62002,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,8609.28,-0.0148841,-0.0148841,0
14:11:15:04:48:51,2873.26,2855.81,0.919025,1.16693,1.20912,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,10638.3,-0.0179394,-0.0179394,0
14:11:15:04:48:52,2874.12,2852.66,0.629938,1.02808,0.919025,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12208.8,-0.0240359,-0.0240359,0
14:11:15:04:48:53,2865.53,2844.65,0.327254,0.883879,0.629938,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,13196.2,-0.0316228,-0.0316228,0
14:11:15:04:48:54,2860.96,2840.36,0.215447,0.783743,0.327254,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,13577.8,-0.046135,-0.046135,0
14:11:15:04:48:55,2857.52,2836.64,0.215447,0.696957,0.215447,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,13435.6,-0.0888063,-0.0888063,0
14:11:15:04:48:56,2854.09,2833.78,0.139824,0.590143,0.215447,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12896.4,-0.134893,-0.134893,0
14:11:15:04:48:57,2850.66,2830.63,0.139824,0.483328,0.139824,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,12073,-0.134893,-0.134893,0
14:11:15:04:48:58,2848.37,2828.63,0,0.481995,0.139824,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,11058.2,-0.207849,-0.207849,0
14:11:15:04:48:59,2846.65,2826.05,0,0.40589,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,9929.04,-0.207849,-0.207849,0
14:11:15:04:49:00,2673.56,63.7433,0,0.365835,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,8748.93,-0.207849,-0.207849,0
14:11:15:04:49:01,2653.82,37.7081,0,0.440605,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,7487.38,-0.207849,-0.207849,0
14:11:15:04:49:02,2638.94,37.422,0,0.566109,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,6114.32,-0.207849,-0.207849,0
14:11:15:04:49:03,2626.35,36.5637,0,0.913252,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4764.55,-0.207849,-0.207849,0
14:11:15:04:49:04,2614.34,46.5772,0,1.87323,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3552.46,-0.207849,-0.207849,0
14:11:15:04:49:05,2602.61,44.5745,0,2.38327,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2488.43,-0.207849,-0.207849,0
14:11:15:04:49:06,2590.88,44.8606,0,3.09491,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1572.85,-0.207849,-0.207849,0
14:11:15:04:49:07,2580.86,44.5745,0,2.65965,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,800.158,-0.207849,-0.207849,0
14:11:15:04:49:08,2570.85,43.7162,0,2.10689,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,162.032,-0.207849,-0.207849,0
14:11:15:04:49:09,2561.41,44.5745,0,1.81716,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-351.445,-0.207849,-0.207849,0
14:11:15:04:49:10,2552.25,44.0023,0,1.50072,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-752.303,-0.207849,-0.207849,0
14:11:15:04:49:11,2542.52,45.1467,0,1.21099,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1053.68,-0.207849,-0.207849,0
14:11:15:04:49:12,2534.23,44.2884,0,0.849163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1269.17,-0.207849,-0.207849,0
14:11:15:04:49:13,2525.07,44.8606,0,0.722324,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1411.85,-0.207849,-0.207849,0
14:11:15:04:49:14,2515.34,45.1467,0,0.64889,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1493.63,-0.207849,-0.207849,0
14:11:15:04:49:15,2507.33,44.5745,0,0.567446,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1526.6,-0.207849,-0.207849,0
14:11:15:04:49:16,2499.32,44.5745,0,0.494009,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1521.28,-0.207849,-0.207849,0
14:11:15:04:49:17,2491.31,247.992,0,0.441938,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1485.46,-0.207849,-0.207849,0
14:11:15:04:49:18,2483.59,633.371,0,0.385862,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1426.59,-0.207849,-0.207849,0
14:11:15:04:49:19,2474.43,648.534,0.519552,0.492676,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1351.77,-0.207849,-0.207849,0
14:11:15:04:49:20,2466.99,645.387,1.6431,0.566109,0.519552,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1267.48,-0.207849,-0.207849,0
14:11:15:04:49:21,2459.55,643.67,0.573193,0.580795,1.6431,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1178.97,-0.055937,-0.055937,0
14:11:15:04:49:22,2451.26,647.104,0.1777,0.518044,0.573193,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1089.06,-0.0176873,-0.0176873,0
