JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
09:11:15:06:25:25,4600.16,4547.52,0,0.178911,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:26,4600.74,4546.66,0,0.176239,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:27,4600.45,4546.95,0,0.177576,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:28,4600.16,4546.95,0,0.174908,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:29,4599.88,4546.95,0,0.174908,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:30,4599.88,4546.09,0,0.176241,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:31,4600.16,4546.95,0,0.188259,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:32,4599.88,4546.95,0,0.184254,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:33,4599.88,4546.38,0,0.180246,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:34,4599.59,4546.66,0,0.174908,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:35,4598.73,4545.52,0,0.180248,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:36,4598.16,4544.95,0,0.176243,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:37,4598.16,4544.37,0,0.174908,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:38,4597.59,4544.66,0,0.185587,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:39,4597.3,4543.8,0,0.185589,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:40,4597.3,4544.09,0,0.172237,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:41,4597.3,4543.8,0,0.174908,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:42,4597.59,4543.23,0,0.182919,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:43,4596.73,4543.52,0,0.182917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:44,4597.88,4543.23,0,0.168232,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:45,4596.73,4543.23,0,0.16556,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:46,4596.16,4542.94,0,0.16823,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:47,4596.44,4542.66,0,0.168232,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:48,4596.16,4543.23,0,0.176239,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:49,4595.59,4542.66,0,0.173571,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:50,4595.59,4542.37,0,0.182919,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:51,4594.16,4541.51,0,0.178909,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:52,4593.3,4539.8,0,0.174906,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:53,4592.73,4539.51,0,0.177576,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:54,4592.15,4538.94,0,0.180246,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:55,4591.87,4538.37,0,0.177576,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:56,4591.29,4537.51,0,0.177576,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:57,4590.72,4537.51,0,0.169565,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:58,4590.15,4536.94,0,0.173571,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:25:59,4590.15,4536.08,0,0.170898,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:00,4588.43,4534.36,0,0.176243,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:01,4570.7,4507.75,0,0.176243,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:02,4237.39,4193.61,0,0.180248,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:03,3874.33,3833.7,0,0.172237,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:04,3539.01,3502.97,0,0.173571,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:05,3224.02,3191.4,0,0.176241,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:06,2927.04,2897.86,0,0.180246,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:07,2647.24,2621.77,0,0.182917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:08,2383.74,2360.56,0,0.176241,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:09,2135.4,2115.66,0,0.172237,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:10,1875.05,1860.46,0,0.176243,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:11,1477.08,1471.93,0,0.178913,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:12,989.853,991.856,0,0.178911,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:13,632.799,638.235,0,0.172235,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:14,415.648,420.225,0,0.170898,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:15,299.491,303.496,0,0.166895,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:16,228.824,228.252,0,0.173571,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:17,183.048,185.05,0,0.184252,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:18,140.418,142.421,0,0.1936,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:19,107.803,110.664,0,0.190929,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:20,86.6314,90.6368,0,0.182917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:21,70.6097,76.9039,0,0.181582,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:22,60.5962,65.746,0,0.182915,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:23,52.8714,58.3074,0,0.189592,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:24,46.5772,51.727,0,0.189594,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:25,40.8552,46.5772,0,0.190928,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:26,37.1359,41.9996,0,0.189594,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:27,33.4166,38.8525,0,0.177576,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
09:11:15:06:26:28,30.8417,35.4193,0,0.188257,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
