JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
13:11:15:23:42:30,-18.0817,-17.5095,0,0.108149,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.520913,0,0,0
13:11:15:23:42:31,-18.6539,-17.7956,0,0.116158,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.867133,0,0,0
13:11:15:23:42:32,-18.94,-17.2234,0,0.112154,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.50794,0,0,0
13:11:15:23:42:33,-18.3678,-17.5095,0,0.106812,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.54891,0,0,0
13:11:15:23:42:34,-18.3678,-17.5095,0,0.104141,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.26336,0,0,0
13:11:15:23:42:35,-18.3678,-17.2234,0,0.101471,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.40783,0,0,0
13:11:15:23:42:36,-18.3678,-17.2234,0,0.110819,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.74294,0,0,0
13:11:15:23:42:37,-18.0817,-16.9373,0,0.112156,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.94512,0,0,0
13:11:15:23:42:38,-18.3678,-16.9373,0,0.106813,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.17338,0,0,0
13:11:15:23:42:39,-18.6539,-16.9373,0,0.106813,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.41449,0,0,0
13:11:15:23:42:40,-18.0817,-16.9373,0,0.108147,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.25517,0,0,0
13:11:15:23:42:41,-18.3678,-16.9373,0,0.102806,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.92835,0,0,0
13:11:15:23:42:42,-17.7956,-17.2234,0,0.10548,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.88616,0,0,0
13:11:15:23:42:43,-18.6539,-16.9373,0,0.104143,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.06333,0,0,0
13:11:15:23:42:44,-18.0817,-16.9373,0,0.101471,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.1345,0,0,0
13:11:15:23:42:45,-18.3678,-16.9373,0,0.0974674,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.85377,0,0,0
13:11:15:23:42:46,-18.3678,-16.9373,0,0.104143,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.58073,0,0,0
13:11:15:23:42:47,-17.7956,-16.6511,0,0.0974693,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.32214,0,0,0
13:11:15:23:42:48,-18.0817,-16.9373,0,0.104143,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.21694,0,0,0
13:11:15:23:42:49,-17.7956,-16.6511,0,0.106813,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.50102,0,0,0
13:11:15:23:42:50,-18.0817,-16.365,0,0.102808,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.80591,0,0,0
13:11:15:23:42:51,-17.7956,-16.9373,0,0.0907898,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.98297,0,0,0
13:11:15:23:42:52,-17.7956,-16.9373,0,0.101471,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.05657,0,0,0
13:11:15:23:42:53,-17.7956,-16.9373,0,0.112154,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.18286,0,0,0
13:11:15:23:42:54,-17.7956,-16.9373,0,0.13485,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.34556,0,0,0
13:11:15:23:42:55,-18.6539,-16.9373,0,0.14954,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.39682,0,0,0
13:11:15:23:42:56,-17.7956,-16.6511,0,0.164227,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.95838,0,0,0
13:11:15:23:42:57,-18.0817,-16.365,0,0.169565,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.15855,0,0,0
13:11:15:23:42:58,-18.0817,-16.9373,0,0.133516,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.778117,0,0,0
13:11:15:23:42:59,-17.7956,-16.9373,0,0.124172,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.596604,0,0,0
13:11:15:23:43:00,-18.3678,-16.6511,0,0.116159,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.438902,0,0,0
13:11:15:23:43:01,-17.7956,-16.6511,0,0.120167,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.304372,0,0,0
13:11:15:23:43:02,-18.0817,-16.6511,0,0.120163,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.0575575,0,0,0
13:11:15:23:43:03,-17.5095,-17.2234,0,0.120165,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.000938072,0,0,0
13:11:15:23:43:04,-18.3678,-16.9373,0,0.105476,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.226022,0,0,0
13:11:15:23:43:05,-17.7956,-16.9373,0,0.102806,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.391368,0,0,0
13:11:15:23:43:06,-17.7956,-17.2234,0,0.104141,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.237296,0,0,0
13:11:15:23:43:07,-17.7956,-16.6511,0,0.117495,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.246097,0,0,0
13:11:15:23:43:08,-17.7956,-16.6511,0,0.110819,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.513625,0,0,0
13:11:15:23:43:09,-17.7956,-16.9373,0,0.10548,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.702487,0,0,0
13:11:15:23:43:10,-17.7956,-16.6511,0,0.0947952,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.825182,0,0,0
13:11:15:23:43:11,-18.0817,-16.9373,0,0.0801106,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.893355,0,0,0
13:11:15:23:43:12,-18.0817,-16.365,0,0.0921249,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.783388,0,0,0
13:11:15:23:43:13,-18.0817,-16.9373,0,0.109482,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.406163,0,0,0
13:11:15:23:43:14,-17.7956,-16.9373,0,0.160221,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.0297414,0,0,0
13:11:15:23:43:15,-17.5095,-16.6511,0,0.166897,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.228474,0,0,0
13:11:15:23:43:16,-18.0817,-16.9373,0,0.129511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.0291687,0,0,0
13:11:15:23:43:17,-17.7956,-16.6511,0,0.134853,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.359855,0,0,0
13:11:15:23:43:18,-17.7956,-16.6511,0,0.104143,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.333421,0,0,0
