JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
11:11:15:13:42:51,4704.88,4704.31,0,0.0881214,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:52,4704.02,4704.31,0,0.0934601,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:53,4705.16,4704.02,0,0.0921269,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:54,4705.45,4703.16,0,0.0907917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:55,4704.02,4703.16,0,0.0907917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:56,4704.88,4704.31,0,0.0947971,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:57,4705.16,4702.3,0,0.0934601,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:58,4704.59,4701.73,0,0.0947971,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:42:59,4704.02,4703.45,0,0.0894566,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:00,4703.73,4703.45,0,0.0961304,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:01,4703.16,4703.73,0,0.0921269,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:02,4704.02,4699.44,0,0.0974674,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:03,4704.02,4700.87,0,0.0988007,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:04,4702.87,4702.02,0,0.0921249,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:05,4702.87,4701.44,0,0.0867844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:06,4703.73,4704.02,0,0.0854511,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:07,4703.73,4700.3,0,0.0947952,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:08,4704.31,4700.01,0,0.0907917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:09,4703.73,4702.87,0,0.0921269,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:10,4704.88,4704.02,0,0.0867844,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:11,4704.31,4704.02,0,0.0921249,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:12,4703.16,4703.16,0,0.0921269,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:13,4702.59,4699.16,0,0.0947971,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:14,4702.87,4702.02,0,0.0894528,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:15,4701.73,4700.87,0,0.0907917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:13:43:16,4702.59,4702.59,0,0.0894547,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
