JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
12:11:15:02:38:57,-16.6511,-16.6511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0
12:11:15:02:38:58,-3516.81,-3516.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-7.81293
12:11:15:02:38:59,-16.6511,-17.2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1671.5
12:11:15:02:39:00,-16.9373,-17.7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4543.74
12:11:15:02:39:01,-16.365,-16.6511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4959.58
12:11:15:02:39:02,-16.0789,-16.6511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-3480.66
12:11:15:02:39:03,-16.0789,-16.6511,0,0.0734348,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2238.37
12:11:15:02:39:04,-16.365,-16.6511,0,0.0747681,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1216.22
12:11:15:02:39:05,-16.365,-17.2234,0,0.0734348,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-395.204
12:11:15:02:39:06,-16.0789,-16.9373,0,0.0747681,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,245.795
12:11:15:02:39:07,-16.6511,-17.2234,0,0.0707626,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,729.117
12:11:15:02:39:08,-16.0789,-17.2234,0,0.0720997,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1076.54
12:11:15:02:39:09,-16.6511,-16.6511,0,0.0734348,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1308.85
12:11:15:02:39:10,-16.6511,-16.6511,0,0.0734348,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1445.87
