JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
13:11:15:14:19:31,-39.5392,5.66475,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,5.88695
13:11:15:14:19:32,-38.6809,5.09254,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.33979
13:11:15:14:19:33,-39.2531,4.23424,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3.42163
13:11:15:14:19:34,-38.967,4.80644,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3.14825
13:11:15:14:19:35,-38.967,4.23424,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.84037
13:11:15:14:19:36,-39.8253,5.09254,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.51567
13:11:15:14:19:37,-39.2531,4.80644,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.91978
13:11:15:14:19:38,-39.5392,5.09254,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.866298
13:11:15:14:19:39,-38.6809,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.032226
13:11:15:14:19:40,-39.5392,5.66475,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.204961
13:11:15:14:19:41,-39.2531,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.111753
13:11:15:14:19:42,-39.2531,4.80644,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.305343
13:11:15:14:19:43,-39.2531,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.578322
13:11:15:14:19:44,-39.5392,5.09254,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.635092
13:11:15:14:19:45,-39.2531,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.792956
13:11:15:14:19:46,-39.2531,4.80644,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.02332
13:11:15:14:19:47,-39.8253,4.52034,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.03353
13:11:15:14:19:48,-41.2559,5.95085,0,0.0680924,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.14326
13:11:15:14:19:49,-40.3975,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.39973
13:11:15:14:19:50,-40.3975,6.23695,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4.49532
13:11:15:14:19:51,-40.3975,5.95085,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-5.82569
13:11:15:14:19:52,-40.3975,5.95085,0,0.0574112,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-6.2598
13:11:15:14:19:53,-40.6837,5.95085,0,0.0574112,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-6.39652
13:11:15:14:19:54,-40.3975,5.66475,0,0.0560761,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-6.43541
13:11:15:14:19:55,-40.6837,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-6.39813
13:11:15:14:19:56,-39.8253,5.09254,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-6.16943
13:11:15:14:19:57,-39.2531,5.66475,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-5.53278
13:11:15:14:19:58,-40.3975,6.23695,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-3.93234
13:11:15:14:19:59,-40.9697,5.66475,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.18065
13:11:15:14:20:00,-40.9697,6.23695,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.84458
13:11:15:14:20:01,-39.8253,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.60338
13:11:15:14:20:02,-39.8253,5.37864,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.8347
13:11:15:14:20:03,-40.6837,5.66475,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.84929
13:11:15:14:20:04,-40.6837,5.66475,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.902372
13:11:15:14:20:05,-39.8253,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.95425
13:11:15:14:20:06,-40.3975,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.964139
13:11:15:14:20:07,-39.8253,6.52305,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.404587
13:11:15:14:20:08,-40.3975,5.95085,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.170931
13:11:15:14:20:09,-39.8253,5.66475,0,0.0547428,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.606435
13:11:15:14:20:10,-39.8253,6.23695,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.921064
13:11:15:14:20:11,-40.1115,5.66475,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.40174
13:11:15:14:20:12,-39.8253,5.66475,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.86034
