JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
12:11:15:07:35:20,13.9617,22.5447,0,0.799763,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:21,23.9752,31.9861,0,1.44465,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:22,26.264,35.4193,0,1.5034,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:23,27.6945,36.5637,0,2.51411,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:24,27.9806,37.7081,0,3.888,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:25,29.6972,39.4247,0,5.73854,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:26,27.9806,36.8498,0,7.81739,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:27,27.1223,35.9915,0,9.05909,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:28,27.1223,36.2776,0,10.4917,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
12:11:15:07:35:29,28.8389,38.2803,0,10.8602,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
