JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
14:11:15:23:21:07,77.19,74.6151,6.55407,9.18059,6.63723,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.08E-05,0,185.574,-0.00439829,-0.00879659,0
14:11:15:23:21:08,73.4707,70.3236,6.63738,9.01637,6.55407,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,3.27E-06,0,189.632,-0.00437866,-0.00875732,0
14:11:15:23:21:09,68.607,65.1738,6.62395,8.90955,6.63738,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,7.96E-07,0,181.17,-0.00443421,-0.00886843,0
14:11:15:23:21:10,66.0321,63.1711,6.60721,8.76535,6.62395,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,3.46E-07,0,161.37,-0.00437856,-0.00875712,0
14:11:15:23:21:11,65.4599,62.5989,6.62655,8.62783,6.60721,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.48E-07,0,133.637,-0.00438744,-0.00877488,0
14:11:15:23:21:12,66.0321,62.0267,6.559,8.57042,6.62655,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,3.58E-08,0,103.246,-0.00439855,-0.0087971,0
14:11:15:23:21:13,66.6043,63.7433,6.58942,8.63584,6.559,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.16E-08,0,75.2605,-0.00438571,-0.00877143,0
14:11:15:23:21:14,66.8904,63.1711,6.57738,8.68258,6.58942,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,2.83E-09,0,52.006,-0.00443088,-0.00886176,0
14:11:15:23:21:15,67.1765,63.7433,6.57799,8.70394,6.57738,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.23E-09,0,33.5057,-0.00441043,-0.00882085,0
14:11:15:23:21:16,66.3182,62.885,6.58994,8.74132,6.57799,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,2.98E-10,0,18.9576,-0.0044185,-0.008837,0
14:11:15:23:21:17,66.0321,62.885,6.56788,8.76936,6.58994,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.28E-10,0,7.22055,-0.00441809,-0.00883618,0
14:11:15:23:21:18,65.1738,61.7406,6.56071,8.8014,6.56788,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,4.14E-11,0,-2.80139,-0.00441008,-0.00882017,0
14:11:15:23:21:19,66.6043,62.5989,6.62397,8.83612,6.56071,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.01E-11,0,-11.4646,-0.00442489,-0.00884978,0
14:11:15:23:21:20,65.4599,63.1711,6.62774,8.85615,6.62397,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,4.33E-12,0,-18.0105,-0.00442973,-0.00885946,0
14:11:15:23:21:21,65.746,62.3128,6.54309,8.88151,6.62774,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.06E-12,0,-22.0586,-0.00438743,-0.00877485,0
14:11:15:23:21:22,65.1738,62.3128,6.59874,8.95762,6.54309,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,4.56E-13,0,-24.7379,-0.00438493,-0.00876985,0
14:11:15:23:21:23,66.3182,62.885,6.59748,8.9683,6.59874,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,1.10E-13,0,-26.5535,-0.00444166,-0.00888332,0
14:11:15:23:21:24,65.746,62.3128,6.59748,8.9723,6.59748,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,3.61E-14,0,-26.9794,-0.0044042,-0.0088084,0
14:11:15:23:21:25,65.746,62.0267,6.5968,9.04974,6.59748,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,8.74E-15,0,-25.9247,-0.00440504,-0.00881008,0
