JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
15:11:15:16:41:45,37.9942,84.0565,0.712507,6.41947,0,0,0,0,0,0,0,0,0.0502812,0,0,0,-7448.48,0,0,0,0,68.0612,74.8574,-0.0728014,10.0474,0
15:11:15:16:41:46,40.8552,87.2036,2.25445,7.04433,0.712507,0,0,0,0,0,0,0,0.0447378,0,0,0,-7448.48,0,0,0,0,68.0612,73.7423,-0.0728014,10.0474,0
15:11:15:16:41:47,39.4247,82.9121,4.02993,7.49962,2.25445,0,0,0,0,0,0,0,0.0408285,0,0,0,-7448.48,0,0,0,0,68.0612,72.4608,-0.0407886,0.122381,0
15:11:15:16:41:48,38.5664,83.7704,4.39617,7.80404,4.02993,0,0,0,0,0,0,0,0.037813,0,0,0,-7448.48,0,0,0,0,30.2905,70.2865,-0.012891,0.038678,0
15:11:15:16:41:49,39.4247,84.6287,4.33358,8.05638,4.39617,0,0,0,0,0,0,0,0.0369913,0,0,0,-7448.48,0,0,0,0,10.7363,66.0196,-0.00721157,0.0216374,0
15:11:15:16:41:50,39.1386,85.487,4.2656,8.3341,4.33358,0,0,0,0,0,0,0,0.0363162,0,0,0,-7448.48,0,0,0,0,6.00816,59.612,-0.00661079,0.0198349,0
15:11:15:16:41:51,37.7081,82.9121,4.24133,8.61582,4.2656,0,0,0,0,0,0,0,0.035726,0,0,0,-7448.48,0,0,0,0,5.54147,53.1076,-0.00670628,0.0201214,0
15:11:15:16:41:52,38.5664,83.4843,4.23633,8.87484,4.24133,0,0,0,0,0,0,0,0.035477,0,0,0,-7448.48,0,0,0,0,5.37428,45.9269,-0.00681314,0.020442,0
15:11:15:16:41:53,40.283,86.0592,4.23782,8.9416,4.23633,0,0,0,0,0,0,0,0.0349278,0,0,0,-7448.48,0,0,0,0,5.59123,37.9159,-0.00685214,0.020559,0
15:11:15:16:41:54,39.9969,85.7731,4.26197,8.94827,4.23782,0,0,0,0,0,0,0,0.0343536,0,0,0,-7448.48,0,0,0,0,5.34502,31.533,-0.00686023,0.0205833,0
15:11:15:16:41:55,40.8552,86.3453,4.24574,9.12184,4.26197,0,0,0,0,0,0,0,0.0340127,0,0,0,-7448.48,0,0,0,0,5.17855,27.5368,-0.00685782,0.020576,0
15:11:15:16:41:56,40.5691,83.4843,4.2561,9.13787,4.24574,0,0,0,0,0,0,0,0.0338424,0,0,0,-7448.48,0,0,0,0,5.24208,24.5539,-0.00681895,0.0204594,0
15:11:15:16:41:57,40.8552,84.0565,4.26697,9.30476,4.2561,0,0,0,0,0,0,0,0.0332848,0,0,0,-7448.48,0,0,0,0,5.61007,22.0379,-0.00684502,0.0205377,0
15:11:15:16:41:58,39.4247,85.7731,4.24274,9.29408,4.26697,0,0,0,0,0,0,0,0.033501,0,0,0,-7448.48,0,0,0,0,5.50016,19.6898,-0.00682835,0.0204876,0
15:11:15:16:41:59,39.1386,85.487,4.25718,9.52373,4.24274,0,0,0,0,0,0,0,0.0329356,0,0,0,-7448.48,0,0,0,0,4.73749,16.7382,-0.00681097,0.0204355,0
15:11:15:16:42:00,36.2776,80.3372,4.23197,9.60918,4.25718,0,0,0,0,0,0,0,0.0329965,0,0,0,-7448.48,0,0,0,0,5.58247,12.6113,-0.00684986,0.0205522,0
15:11:15:16:42:01,37.422,85.7731,4.27824,9.43961,4.23197,0,0,0,0,0,0,0,0.0328007,0,0,0,-7448.48,0,0,0,0,5.52285,6.77342,-0.00682663,0.0204825,0
15:11:15:16:42:02,48.2938,95.5005,4.26777,9.7467,4.27824,0,0,0,0,0,0,0,0.0321334,0,0,0,-7448.48,0,0,0,0,4.68558,-0.192427,-0.00686728,0.0206044,0
15:11:15:16:42:03,81.7677,126.972,4.26777,9.99771,4.26777,0,0,0,0,0,0,0,0.0306281,0,0,0,-7448.48,0,0,0,0,4.76019,-0.689567,-0.00679301,0.0203816,0
15:11:15:16:42:04,79.765,125.827,6.00937,10.421,4.26777,0,0,0,0,0,0,0,0.0299225,0,0,0,-7448.48,0,0,0,0,5.07849,25.3969,-0.00680969,0.0204316,0
15:11:15:16:42:05,77.19,123.538,6.00937,10.8215,6.00937,0,0,0,0,0,0,0,0.0291866,0,0,0,-7448.48,0,0,0,0,5.69669,80.1591,-0.00680969,0.0204316,0
15:11:15:16:42:06,74.6151,122.394,7.49805,10.6853,6.00937,0,0,0,0,0,0,0,0.028531,0,0,0,-7448.48,0,0,0,0,5.01519,132.219,-0.00483614,0.0145103,0
15:11:15:16:42:07,75.4734,121.536,7.67034,10.7347,7.49805,0,0,0,0,0,0,0,0.0291984,0,0,0,-7448.48,0,0,0,0,3.64393,163.396,-0.00483614,0.0145103,0
15:11:15:16:42:08,75.1873,120.105,7.67034,10.3235,7.67034,0,0,0,0,0,0,0,0.0296614,0,0,0,-7448.48,0,0,0,0,3.64501,178.946,-0.00387596,0.0116294,0
15:11:15:16:42:09,75.4734,120.964,7.59656,10.2714,7.67034,0,0,0,0,0,0,0,0.0288738,0,0,0,-7448.48,0,0,0,0,3.01936,184.722,-0.0037889,0.0113681,0
15:11:15:16:42:10,74.329,122.108,7.60202,10.6106,7.59656,0,0,0,0,0,0,0,0.0288738,0,0,0,-7448.48,0,0,0,0,2.89365,183.637,-0.0037889,0.0113681,0
15:11:15:16:42:11,74.9012,119.247,7.64197,10.6306,7.60202,0,0,0,0,0,0,0,0.028192,0,0,0,-7448.48,0,0,0,0,2.8307,176.659,-0.0038257,0.0114785,0
15:11:15:16:42:12,75.1873,119.247,7.64024,10.5411,7.64197,0,0,0,0,0,0,0,0.0284885,0,0,0,-7448.48,0,0,0,0,3.05548,165.117,-0.00382295,0.0114703,0
15:11:15:16:42:13,74.6151,119.533,7.56571,10.5905,7.64024,0,0,0,0,0,0,0,0.028211,0,0,0,-7448.48,0,0,0,0,2.90075,151.244,-0.00380297,0.0114103,0
15:11:15:16:42:14,74.9012,117.816,7.56886,10.5385,7.56571,0,0,0,0,0,0,0,0.0280339,0,0,0,-7448.48,0,0,0,0,2.91396,136.155,-0.00380383,0.0114129,0
15:11:15:16:42:15,73.4707,119.533,7.55884,10.5945,7.56886,0,0,0,0,0,0,0,0.0288204,0,0,0,-7448.48,0,0,0,0,2.75036,120.069,-0.0038413,-0.0076826,0
15:11:15:16:42:16,75.1873,119.819,7.54964,10.6079,7.55884,0,0,0,0,0,0,0,0.0291504,0,0,0,-7448.48,0,0,0,0,2.93889,103.321,-0.0038397,0.0115206,0
15:11:15:16:42:17,75.1873,120.105,7.44297,10.6119,7.54964,0,0,0,0,0,0,0,0.0291958,0,0,0,-7448.48,0,0,0,0,2.87626,86.8561,-0.00384479,0.0115358,0
15:11:15:16:42:18,72.6124,118.389,7.52271,10.6106,7.44297,0,0,0,0,0,0,0,0.0288837,0,0,0,-7448.48,0,0,0,0,2.88885,72.467,-0.00384948,0.0115499,0
15:11:15:16:42:19,47.7216,92.9256,7.54016,10.6853,7.52271,0,0,0,0,0,0,0,0.0281506,0,0,0,-7448.48,0,0,0,0,2.88295,58.7753,-0.00390465,0.0117154,0
15:11:15:16:42:20,43.4301,88.9202,7.54812,10.6786,7.54016,0,0,0,0,0,0,0,0.0277318,0,0,0,-7448.48,0,0,0,0,3.00638,32.3534,-0.00386326,0.0115912,0
15:11:15:16:42:21,37.422,83.7704,5.71846,10.5011,7.54812,0,0,0,0,0,0,0,0.0277259,0,0,0,-7448.48,0,0,0,0,2.98192,-15.478,-0.00385431,0.0115644,0
15:11:15:16:42:22,35.7054,82.0538,5.07732,10.4904,5.71846,0,0,0,0,0,0,0,0.0280872,0,0,0,-7448.48,0,0,0,0,2.70293,-70.1584,-0.00385025,0.0115522,0
15:11:15:16:42:23,31.4139,77.19,4.16421,10.4583,5.07732,0,0,0,0,0,0,0,0.0289064,0,0,0,-7448.48,0,0,0,0,2.83655,-118.307,-0.00508217,0.0152484,0
15:11:15:16:42:24,31.1278,77.7623,3.5714,10.3796,4.16421,0,0,0,0,0,0,0,0.0295476,0,0,0,-7448.48,0,0,0,0,3.87334,-157.931,-0.00572392,0.0171739,0
15:11:15:16:42:25,30.8417,78.3345,3.38052,10.3115,3.5714,0,0,0,0,0,0,0,0.0299633,0,0,0,-7448.48,0,0,0,0,4.36899,-188.311,-0.00697903,0.0209397,0
15:11:15:16:42:26,33.4166,81.1955,0,10.3061,3.38052,0,0,0,0,0,0,0,0.0301115,0,0,0,-7448.48,0,0,0,0,4.98931,-208.108,-0.00813747,0.0244155,0
15:11:15:16:42:27,37.422,83.7704,0,10.3048,0,0,0,0,0,0,0,0,0.0301014,0,0,0,-7448.48,0,0,0,0,6.63087,-215.957,-0.00859696,0.0257941,0
15:11:15:16:42:28,39.4247,85.7731,1.24622,10.3168,0,0,0,0,0,0,0,0,0.0300081,0,0,0,-7448.48,0,0,0,0,6.1988,-211.053,-0.00859696,0.0257941,0
15:11:15:16:42:29,38.8525,85.7731,2.80197,10.3382,1.24622,0,0,0,0,0,0,0,0.521123,0,0,0,-7448.48,0,0,0,0,6.1988,-194.787,-0.00859696,0.0257941,0
15:11:15:16:42:30,38.5664,85.487,4.30004,10.3756,2.80197,0,0,0,0,0,0,0,2.06016,0,0,0,-7448.48,0,0,0,0,6.1988,-172.745,-0.0233202,0.0699693,0
15:11:15:16:42:31,38.5664,85.7731,4.28758,10.4143,4.30004,0,0,0,0,0,0,0,2.54921,0,0,0,-7448.48,0,0,0,0,16.576,-150.188,-0.0103721,0.0311201,0
15:11:15:16:42:32,38.5664,85.7731,4.2662,10.4196,4.28758,0,0,0,0,0,0,0,1.92649,0,0,0,-7448.48,0,0,0,0,8.20083,-128.748,-0.00675858,0.0202783,0
15:11:15:16:42:33,38.8525,85.7731,4.26228,10.4356,4.2662,0,0,0,0,0,0,0,1.67923,0,0,0,-7448.48,0,0,0,0,4.76487,-108.432,-0.00677823,0.0203372,0
15:11:15:16:42:34,38.5664,86.9175,4.2613,10.4129,4.26228,0,0,0,0,0,0,0,1.5993,0,0,0,-7448.48,0,0,0,0,5.14898,-89.3435,-0.00681219,0.0204391,0
15:11:15:16:42:35,56.0186,102.653,4.26105,10.425,4.2613,0,0,0,0,0,0,0,1.09319,0,0,0,-7448.48,0,0,0,0,5.07842,-71.7927,-0.00681845,0.0204579,0
15:11:15:16:42:36,69.7514,115.528,4.44667,10.4036,4.26105,0,0,0,0,0,0,0,0.516609,0,0,0,-7448.48,0,0,0,0,5.55142,-48.0484,-0.00682003,0.0204627,0
15:11:15:16:42:37,80.3372,128.116,5.72324,10.4397,4.44667,0,0,0,0,0,0,0,0.601888,0,0,0,-7448.48,0,0,0,0,5.04015,-5.67015,-0.00682042,0.0204638,0
15:11:15:16:42:38,80.3372,126.399,7.203,10.5611,5.72324,0,0,0,0,0,0,0,2.05869,0,0,0,-7448.48,0,0,0,0,5.2631,53.0122,-0.00653571,-0.0130714,0
15:11:15:16:42:39,79.765,125.541,7.98402,10.5865,7.203,0,0,0,0,0,0,0,2.02151,0,0,0,-7448.48,0,0,0,0,5.25215,112.683,-0.00507792,0.0152357,0
15:11:15:16:42:40,82.3399,127.258,7.94123,10.5264,7.98402,0,0,0,0,0,0,0,1.38348,0,0,0,-7448.48,0,0,0,0,3.65102,159.564,-0.00403473,0.0121057,0
15:11:15:16:42:41,82.626,130.119,7.92425,10.3889,7.94123,0,0,0,0,0,0,0,1.22738,0,0,0,-7448.48,0,0,0,0,2.97677,191.156,-0.00364004,0.0109215,0
15:11:15:16:42:42,84.9148,129.833,7.92001,10.4623,7.92425,0,0,0,0,0,0,0,1.0209,0,0,0,-7448.48,0,0,0,0,3.11136,211.658,-0.00365966,0.0109804,0
15:11:15:16:42:43,86.0592,132.694,7.92255,10.5171,7.92001,0,0,0,0,0,0,0,0.686165,0,0,0,-7448.48,0,0,0,0,2.91551,223.292,-0.0036675,0.0110039,0
15:11:15:16:42:44,87.2036,133.552,7.91832,10.5304,7.92255,0,0,0,0,0,0,0,0.413025,0,0,0,-7448.48,0,0,0,0,2.63621,228.038,-0.00366946,0.0110098,0
15:11:15:16:42:45,82.0538,127.258,7.91832,10.481,7.91832,0,0,0,0,0,0,0,0.126549,0,0,0,-7448.48,0,0,0,0,2.81637,227.226,-0.00366828,0.0110062,0
15:11:15:16:42:46,79.765,127.83,7.91916,10.4196,7.91832,0,0,0,0,0,0,0,0.0647958,0,0,0,-7448.48,0,0,0,0,2.61414,218.69,-0.00367024,0.0110121,0
15:11:15:16:42:47,81.1955,126.113,7.91917,10.3382,7.91916,0,0,0,0,0,0,0,0.0422852,0,0,0,-7448.48,0,0,0,0,2.66744,199.941,-0.00367024,-0.00734049,0
15:11:15:16:42:48,79.765,126.399,7.92933,10.2554,7.91917,0,0,0,0,0,0,0,0.037986,0,0,0,-7448.48,0,0,0,0,2.57449,175.432,-0.00366985,0.0110109,0
15:11:15:16:42:49,80.6233,126.399,7.92933,10.234,7.92933,0,0,0,0,0,0,0,0.0357981,0,0,0,-7448.48,0,0,0,0,2.49115,150.767,-0.00366985,0.0110109,0
15:11:15:16:42:50,79.1928,127.544,7.91748,10.238,7.92933,0,0,0,0,0,0,0,0.0351605,0,0,0,-7448.48,0,0,0,0,2.82445,126.889,-0.00366515,0.0109968,0
15:11:15:16:42:51,80.6233,126.972,7.9234,10.2501,7.91748,0,0,0,0,0,0,0,0.0350811,0,0,0,-7448.48,0,0,0,0,2.64939,104.093,-0.00366515,-0.0073303,0
15:11:15:16:42:52,80.0511,127.258,7.92594,10.2434,7.9234,0,0,0,0,0,0,0,0.0345136,0,0,0,-7448.48,0,0,0,0,2.63658,83.1057,-0.00367063,0.0110133,0
15:11:15:16:42:53,80.9094,127.83,7.91579,10.3088,7.92594,0,0,0,0,0,0,0,0.0339553,0,0,0,-7448.48,0,0,0,0,2.83534,64.8326,-0.00366789,0.0110051,0
15:11:15:16:42:54,80.3372,128.402,7.92001,10.3408,7.91579,0,0,0,0,0,0,0,0.0334578,0,0,0,-7448.48,0,0,0,0,2.85796,49.3442,-0.00366672,0.0110015,0
15:11:15:16:42:55,79.4789,128.402,7.92679,10.3128,7.92001,0,0,0,0,0,0,0,0.0332139,0,0,0,-7448.48,0,0,0,0,2.76331,36.205,-0.00367142,0.0110156,0
15:11:15:16:42:56,81.7677,126.113,7.92001,10.2995,7.92679,0,0,0,0,0,0,0,0.0332102,0,0,0,-7448.48,0,0,0,0,2.66828,24.4707,-0.00366946,0.0110098,0
15:11:15:16:42:57,82.0538,129.833,7.92255,10.2047,7.92001,0,0,0,0,0,0,0,0.0332704,0,0,0,-7448.48,0,0,0,0,2.85117,14.7168,-0.00366632,0.0110004,0
15:11:15:16:42:58,82.9121,131.549,7.92424,10.23,7.92255,0,0,0,0,0,0,0,0.0333659,0,0,0,-7448.48,0,0,0,0,2.75501,8.6642,-0.00366946,0.0110098,0
15:11:15:16:42:59,84.6287,131.263,7.92679,10.2167,7.92424,0,0,0,0,0,0,0,0.197388,0,0,0,-7448.48,0,0,0,0,2.85394,5.50202,-0.00366828,0.0110062,0
15:11:15:16:43:00,84.0565,133.266,7.92509,10.2207,7.92679,0,0,0,0,0,0,0,1.35037,0,0,0,-7448.48,0,0,0,0,2.65526,4.65282,-0.0036675,0.0110039,0
15:11:15:16:43:01,84.6287,132.694,7.92933,10.2007,7.92509,0,0,0,0,0,0,0,1.35041,0,0,0,-7448.48,0,0,0,0,2.8117,5.60193,-0.00366632,0.0110004,0
15:11:15:16:43:02,82.9121,131.835,7.91917,10.2687,7.92933,0,0,0,0,0,0,0,2.05501,0,0,0,-7448.48,0,0,0,0,2.73931,6.69069,-0.00366711,0.0110027,0
15:11:15:16:43:03,82.0538,130.119,7.92086,10.1379,7.91917,0,0,0,0,0,0,0,2.23778,0,0,0,-7448.48,0,0,0,0,2.7399,6.77843,-0.00366515,0.0109968,0
15:11:15:16:43:04,81.7677,129.833,7.9234,10.0925,7.92086,0,0,0,0,0,0,0,2.3249,0,0,0,-7448.48,0,0,0,0,2.65217,4.88845,-0.00366985,0.0110109,0
15:11:15:16:43:05,80.6233,127.258,7.92001,10.0471,7.9234,0,0,0,0,0,0,0,2.35639,0,0,0,-7448.48,0,0,0,0,2.51757,1.54265,-0.00366907,0.0110086,0
15:11:15:16:43:06,80.3372,130.405,7.91578,9.95232,7.92001,0,0,0,0,0,0,0,2.16191,0,0,0,-7448.48,0,0,0,0,2.8146,-2.27669,-0.00366789,0.0110051,0
15:11:15:16:43:07,81.4816,128.402,7.92424,10.0351,7.91578,0,0,0,0,0,0,0,1.71611,0,0,0,-7448.48,0,0,0,0,2.84984,-6.47354,-0.00366946,0.0110098,0
15:11:15:16:43:08,80.9094,128.688,7.92339,10.1286,7.92424,0,0,0,0,0,0,0,1.63827,0,0,0,-7448.48,0,0,0,0,2.5171,-9.75434,-0.00367142,-0.00734284,0
15:11:15:16:43:09,81.1955,129.26,7.92001,10.1259,7.92339,0,0,0,0,0,0,0,1.38275,0,0,0,-7448.48,0,0,0,0,2.68972,-11.2911,-0.0036675,0.0110039,0
15:11:15:16:43:10,82.626,127.83,7.9217,10.186,7.92001,0,0,0,0,0,0,0,1.07397,0,0,0,-7448.48,0,0,0,0,3.04434,-11.9809,-0.00366789,0.0110051,0
15:11:15:16:43:11,80.3372,128.402,7.92594,10.1579,7.9217,0,0,0,0,0,0,0,0.540187,0,0,0,-7448.48,0,0,0,0,3.09477,-11.4632,-0.00366946,0.0110098,0
15:11:15:16:43:12,81.7677,127.544,7.92848,10.1099,7.92594,0,0,0,0,0,0,0,0.213575,0,0,0,-7448.48,0,0,0,0,2.75812,-10.3054,-0.00366868,0.0110074,0
15:11:15:16:43:13,81.7677,127.83,7.93357,10.1232,7.92848,0,0,0,0,0,0,0,0.0778445,0,0,0,-7448.48,0,0,0,0,2.81021,-9.90161,-0.00366672,0.0110015,0
15:11:15:16:43:14,80.6233,130.691,7.92765,10.1246,7.93357,0,0,0,0,0,0,0,0.0525865,0,0,0,-7448.48,0,0,0,0,2.91194,-9.01408,-0.00366554,0.010998,0
15:11:15:16:43:15,81.1955,128.402,7.92849,10.1766,7.92765,0,0,0,0,0,0,0,0.0384746,0,0,0,-7448.48,0,0,0,0,2.54058,-7.91802,-0.00366319,0.010991,0
15:11:15:16:43:16,80.9094,128.116,7.93102,10.1473,7.92849,0,0,0,0,0,0,0,0.0357689,0,0,0,-7448.48,0,0,0,0,2.83791,-7.6362,-0.00366593,0.0109992,0
15:11:15:16:43:17,81.1955,127.83,7.92764,10.1526,7.93102,0,0,0,0,0,0,0,0.0345669,0,0,0,-7448.48,0,0,0,0,2.54221,-7.31569,-0.00366554,0.010998,0
15:11:15:16:43:18,80.6233,128.116,7.92764,10.1967,7.92764,0,0,0,0,0,0,0,0.0338585,0,0,0,-7448.48,0,0,0,0,2.61405,-6.7071,-0.00366437,0.0109945,0
15:11:15:16:43:19,81.4816,128.116,7.92848,10.1926,7.92764,0,0,0,0,0,0,0,0.0341011,0,0,0,-7448.48,0,0,0,0,2.63056,-6.16535,-0.00366593,0.0109992,0
15:11:15:16:43:20,80.6233,127.544,7.92848,10.1726,7.92848,0,0,0,0,0,0,0,0.0338394,0,0,0,-7448.48,0,0,0,0,2.60951,-5.55751,-0.00366593,0.0109992,0
